301; Lau Heidi; Realschullehrerin, Stadtratsmitglied; 1954;
302; Fulde Joachim; Betreuungsassistent; 1948;
303; John Christina; Stellv. Berufsschulleitung; 1981;
304; Schuh Oswald; Industriefachwirt; 1955;
305; Koch Beate; Betriebswirtin VWA; 1970;
306; Rosner Georg; MaHM, Gesundheitsmanager; 1970;
307; Bösel Nina; Einzelhandelskauffrau; 1980;
308; Knorr Georg; Landwirt, Stadtratsmitglied; 1961;
309; Lau Martina; Altenpflegerin; 1984;
310; Beck Alexander; IT-Administrator; 1976;
311; Knorr Marlen; Erzieherin; 1996;
312; Dr. Bihler Otfried; Lehrer; 1951;
313; Hoess Margit; Rentnerin; 1949;
314; Meredith Daniel; Personalreferent; 1984;
315; Persdorf Elfriede; Reinigungsfachkraft; 1961;
316; Pfannes Etienne; Auszubildender zum Physiotherapeuten; 1995;
317; Steger Isabell; Studentin; 2000;
318; Held Edmund; Rentner; 1932;
319; Pfannes-Völkel Manuela; Parfümistin; 1965;
320; Wendel Sebastian; Fachinformatiker; 1996;
321; Laube Claudia; Hauswirtschafterin; 1964;
322; Rosenbauer Georg; Versicherungsfachmann; 1962;
323; Posselt Helene; Bekleidungsnäherin; 1958;
324; Bösel Kay; Müllwerker; 1981;
325; Besecke Christiane; Krankenschwester; 1976;
326; Eberle Alois; Drucker; 1959;
327; Reischl Daniela; Verkäuferin; 1986;
328; Werner Jürgen; Elektrotechniker; 1962;
329; Petereit Monika; Rentnerin; 1947;
330; Rottner Philipp; Geschäftsführer; 1970;
331; Georgaki Eleni; Laborhelferin; 1958;
332; Vo Van Thang; Einkäufer; 1979;
333; Caveness Miriam; Hörakustikerin; 1991;
334; Zaccariello Antonio; Handelsfachwirt; 1976;
335; Schellenberger Katrin; Lehrerin; 1982;
336; Posselt Peter; Technischer Angestellter; 1956;
337; Etzel Daniela; Hauswirtschafterin; 1969;
338; Stefos Dimitri; Fachkraft Metalltechnik; 1991;
339; Bischof Ruth; Aushilfslehrerin; 1946;
340; Böttcher Erik; Dipl.-Ing. (FH), Prüfingenieur; 1983;
341; Pandel Brigitte; Tagesmutter; 1949;
342; Zaulig Ronald; Rettungsassistent; 1958;
343; Kreß Doris; Rentnerin; 1952;
344; Burghart Daniel; Realschullehrer; 1982;
345; Mückel-Memis Nathalie; Arzthelferin; 1976;
346; Barekas Kleanthis; Wohnungsvermieter; 1960;
347; Zasada Agata; B.Sc., Medizinisch-technische Laborassistentin; 1970;
348; Wendel Michael; Bäckermeister; 1966;
349; Steger Eva; Abteilungsleiterin; 1960;
350; Hermann Christa; Sachbearbeiterin; 1953;
