501; Dr. Jung Thomas; Oberbürgermeister; 1961;
502; Arnold Birgit; Gymnasiallehrerin, Stadtratsmitglied; 1961;
503; Braun Markus; Bürgermeister; 1967;
504; Ludwig Maria; pharmazeutisch-kaufm. Assistentin, Stadtratsmitglied; 1962;
505; Dr. Döhla Benedikt; Mittelschullehrer, Stadtratsmitglied; 1983;
506; Chen-Weidmann Gabriele; Verwaltungsangestellte, Stadtratsmitglied; 1963;
507; Guglietta Maurice; M.A., Kommunikationsberater, Stadtratsmitglied; 1991;
508; Jonescu Sarah; Krankenschwester, Stadtratsmitglied; 1985;
509; Dornhuber Matthias; M.A., Wissenschaftlicher Mitarbeiter; 1983;
510; Vigas Karin; Verwaltungsfachangestellte, Stadtratsmitglied, Burgfarrnbach; 1958;
511; Körbl Sepp; Studienrat für Realschule, Stadtratsmitglied; 1962;
512; Stauber Christiane; Medizinische Fachangestellte, Stadtratsmitglied, Mannhof; 1967;
513; Fuchs Alexander; Dipl.-Jur. (Univ), Jurist; 1991;
514; Schnitzer Julia; B.A., Studentin Europäische Ethnologie, Stadtratsmitglied, Unterfürberg; 1993;
515; Dinter-Bienk Markus; Gymnasiallehrer, Stadtratsmitglied, Unterfarrnbach; 1979;
516; Giering Heike; Hebamme, Stadtratsmitglied, Vach; 1961;
517; Richter Roland; Erzieher, Stadtratsmitglied, Ronhof; 1969;
518; Rick Silke; Erzieherin, Stadtratsmitglied; 1971;
519; Haßgall Stefan; Polizeibeamter, Stadtratsmitglied; 1970;
520; von Wittke Michaela; Bäckermeisterin, Stadtratsmitglied; 1968;
521; Scheuenstuhl Peter; Medizinstudent; 1996;
522; Bauer Judith; Sozialarbeiterin, Stadeln; 1989;
523; Dippold Werner; Datenschutz- und IT-Sicherheitsbeauftragter; 1967;
524; Feiler-Düll Katrin; M.Sc., Volkswirtin; 1984;
525; Göppl Andreas; Wissenschaftlicher Mitarbeiter; 1976;
526; Kurz Andrea; Dipl.-Ing. (FH), Architektin; 1971;
527; Pecher Julian; Erzieher; 1991;
528; Seiß de Caicedo Katja; Berufsschullehrerin; 1967;
529; Kaval Aydin; Feinmesstechniker, Stadtratsmitglied; 1961;
530; Colonna Susanne; Städt. Angestellte im Schuldienst; 1958;
531; Loisi Antonio; Rohrnetzmonteur, Feuerwehrkommandant, Mannhof; 1986;
532; Stadelmann Andrea; Büroleitung im Abgeordnetenbüro; 1969;
533; Wagler Hermann; Versicherungsfachmann i.R., Stadtratsmitglied, Stadeln; 1955;
534; Richter Alexandra; LL.M., Wissenschaftliche Mitarbeiterin; 1987;
535; Griener Felix; Personalratsvorsitzender; 1986;
536; Bracker Gabriele; Notfallsanitäterin; 1961;
537; Yeşil Ayhan; Kaufmann, Stadtratsmitglied; 1974;
538; Hahn Gabriele; Lehrerin, Vach; 1954;
539; Neubert Paul; Schüler, Vach; 2000;
540; Wittliff Olga; Volljuristin; 1983;
541; Gabler Andreas; Dipl.-Vww. (FH),Fachverfahrensadministrator; 1984;
542; Honeiser Horst; Verkaufs- und Vertriebsleiter i.R.; 1954;
543; Reinhardt Claus; Heilerziehungspfleger, Vach; 1967;
544; Schmidt Tobias; Speditionskaufmann; 1985;
545; Griff Wolfgang; Handelsfachwirt; 1960;
546; Pehlivan Uğur; M.Sc., Chemiker; 1985;
547; Wenig Peter; Brauer und Mälzer; 1965;
548; Peterk Sven; Risikoanalyst, Oberfürberg; 1980;
549; Beißwenger Benjamin; Schüler; 2002;
550; Hofmann David; Kfz-Mechaniker; 1981;
